text,sura,lemmatized
من يضلل الله فلا هادي له ويذرهم في طغيٰنهم يعمهون,سورة الاعراف,"['من', 'أضل', 'الله', 'لا', 'هادي', 'ل', 'وذر', 'في', 'طغين', 'عمه']"
واذا لم تاتهم باية قالوا لولا اجتبيتها قل انما اتبع ما يوحىٰ الي من ربي هٰذا بصائر من ربكم وهدى ورحمة لقوم يؤمنون,سورة الاعراف,"['اذ', 'لم', 'تات', 'باي', 'قال', 'لولا', 'اجتبي', 'قال', 'انما', 'اتبع', 'ما', 'وحى', 'الي', 'من', 'رب', 'هذا', 'بصيرة', 'من', 'رب', 'هدى', 'رحمة', 'قوم', 'آمن']"
ثلة من الاولين,سورة الواقعة,"['ثلة', 'من', 'اول']"
يسلونك عن الساعة ايان مرسىٰها قل انما علمها عند ربي لا يجليها لوقتها الا هو ثقلت في السمٰوٰت والارض لا تاتيكم الا بغتة يسلونك كانك حفي عنها قل انما علمها عند الله ولٰكن اكثر الناس لا يعلمون,سورة الاعراف,"['يسلونك', 'عن', 'ساعة', 'ايان', 'مرسى', 'قال', 'انما', 'علم', 'عند', 'رب', 'لا', 'جلى', 'وقت', 'الا', 'هو', 'ثقل', 'في', 'سمت', 'ارض', 'لا', 'تاتيكم', 'الا', 'بغتة', 'يسلونك', 'كان', 'حفي', 'عن', 'قال', 'انما', 'علم', 'عند', 'الله', 'لكن', 'اكثر', 'ناس', 'لا', 'علم']"
قل لا املك لنفسي نفعا ولا ضرا الا ما شاء الله ولو كنت اعلم الغيب لاستكثرت من الخير وما مسني السوء ان انا الا نذير وبشير لقوم يؤمنون,سورة الاعراف,"['قال', 'لا', 'املك', 'نفس', 'نفع', 'لا', 'ضر', 'الا', 'ما', 'شاء', 'الله', 'لو', 'كان', 'اعلم', 'غيب', 'استكثر', 'من', 'خير', 'ما', 'مس', 'سوء', 'ان', 'انا', 'الا', 'نذير', 'بشير', 'قوم', 'آمن']"
هو الذي خلقكم من نفس وٰحدة وجعل منها زوجها ليسكن اليها فلما تغشىٰها حملت حملا خفيفا فمرت به فلما اثقلت دعوا الله ربهما لئن ءاتيتنا صٰلحا لنكونن من الشٰكرين,سورة الاعراف,"['هو', 'الذي', 'خلق', 'من', 'نفس', 'وحدة', 'جعل', 'من', 'زوج', 'سكن', 'الي', 'لما', 'تغشى', 'حمل', 'حمل', 'خفيف', 'مر', 'ب', 'لما', 'اثقل', 'دعا', 'الله', 'رب', 'لئن', 'ءاتيتنا', 'صلح', 'لنكونن', 'من', 'شكر']"
فلما ءاتىٰهما صٰلحا جعلا له شركاء فيما ءاتىٰهما فتعٰلى الله عما يشركون,سورة الاعراف,"['لما', 'ءاتىهما', 'صلح', 'جعل', 'ل', 'شريك', 'في', 'ءاتىهما', 'أعلى', 'الله', 'عن', 'أشرك']"
ايشركون ما لا يخلق شيا وهم يخلقون,سورة الاعراف,"['ايشركون', 'ما', 'لا', 'خلق', 'شي', 'هم', 'خلق']"
ولا يستطيعون لهم نصرا ولا انفسهم ينصرون,سورة الاعراف,"['لا', 'استطاع', 'ل', 'نصر', 'لا', 'انفس', 'نصر']"
وان تدعوهم الى الهدىٰ لا يتبعوكم سواء عليكم ادعوتموهم ام انتم صٰمتون,سورة الاعراف,"['وان', 'دعا', 'الى', 'هدى', 'لا', 'اتبع', 'سواء', 'على', 'ادعوتموهم', 'ام', 'انتم', 'صمت']"
ان الذين تدعون من دون الله عباد امثالكم فادعوهم فليستجيبوا لكم ان كنتم صٰدقين,سورة الاعراف,"['ان', 'الذي', 'دعا', 'من', 'دون', 'الله', 'عباد', 'امثال', 'فادعوهم', 'استجاب', 'ل', 'ان', 'كان', 'صدق']"
الهم ارجل يمشون بها ام لهم ايد يبطشون بها ام لهم اعين يبصرون بها ام لهم ءاذان يسمعون بها قل ادعوا شركاءكم ثم كيدون فلا تنظرون,سورة الاعراف,"['هم', 'ارجل', 'مشى', 'ب', 'ام', 'ل', 'ايد', 'بطش', 'ب', 'ام', 'ل', 'اعين', 'أبصر', 'ب', 'ام', 'ل', 'ءاذان', 'سمع', 'ب', 'قال', 'ادعى', 'شريك', 'ثم', 'كيد', 'لا', 'نظر']"
ان ولي الله الذي نزل الكتٰب وهو يتولى الصٰلحين,سورة الاعراف,"['ان', 'ولي', 'الله', 'الذي', 'نزل', 'كتاب', 'هو', 'تولى', 'صلح']"
والذين تدعون من دونه لا يستطيعون نصركم ولا انفسهم ينصرون,سورة الاعراف,"['الذي', 'دعا', 'من', 'دون', 'لا', 'استطاع', 'نصر', 'لا', 'انفس', 'نصر']"
وان تدعوهم الى الهدىٰ لا يسمعوا وترىٰهم ينظرون اليك وهم لا يبصرون,سورة الاعراف,"['وان', 'دعا', 'الى', 'هدى', 'لا', 'سمع', 'رأى', 'نظر', 'يك', 'هم', 'لا', 'أبصر']"
الا من استرق السمع فاتبعه شهاب مبين,سورة الحجر,"['الا', 'من', 'استرق', 'سمع', 'اتبع', 'شهاب', 'مبين']"
واذا قرئ القرءان فاستمعوا له وانصتوا لعلكم ترحمون,سورة الاعراف,"['اذ', 'قرئ', 'قرء', 'استمع', 'ل', 'انصت', 'لعل', 'رحم']"
واذكر ربك في نفسك تضرعا وخيفة ودون الجهر من القول بالغدو والاصال ولا تكن من الغٰفلين,سورة الاعراف,"['اذكر', 'رب', 'في', 'نفس', 'تضرع', 'خيفة', 'دون', 'جهر', 'من', 'قول', 'غدو', 'اصال', 'لا', 'كان', 'من', 'غفل']"
ان الذين عند ربك لا يستكبرون عن عبادته ويسبحونه وله يسجدون,سورة الاعراف,"['ان', 'الذي', 'عند', 'رب', 'لا', 'استكبر', 'عن', 'عبادة', 'ويسبحونه', 'ل', 'سجد']"
بسم الله الرحمٰن الرحيم,سورة الانفال,"['بسم', 'الله', 'رحمن', 'رحيم']"
يسلونك عن الانفال قل الانفال لله والرسول فاتقوا الله واصلحوا ذات بينكم واطيعوا الله ورسوله ان كنتم مؤمنين,سورة الانفال,"['يسلونك', 'عن', 'انفال', 'قال', 'انفال', 'الله', 'رسول', 'اتقى', 'الله', 'اصلح', 'ذات', 'بين', 'اطيع', 'الله', 'رسول', 'ان', 'كان', 'مؤمن']"
انما المؤمنون الذين اذا ذكر الله وجلت قلوبهم واذا تليت عليهم ءايٰته زادتهم ايمٰنا وعلىٰ ربهم يتوكلون,سورة الانفال,"['انما', 'مؤمن', 'الذي', 'اذ', 'ذكر', 'الله', 'وجل', 'قلب', 'اذ', 'ولي', 'على', 'ءاي', 'زاد', 'ايمن', 'على', 'رب', 'توكل']"
الذين يقيمون الصلوٰة ومما رزقنٰهم ينفقون,سورة الانفال,"['الذي', 'أقام', 'صلو', 'من', 'رزقن', 'أنفق']"
اولٰئك هم المؤمنون حقا لهم درجٰت عند ربهم ومغفرة ورزق كريم,سورة الانفال,"['اولئك', 'هم', 'مؤمن', 'حق', 'ل', 'درج', 'عند', 'رب', 'مغفرة', 'رزق', 'كريم']"
كما اخرجك ربك من بيتك بالحق وان فريقا من المؤمنين لكٰرهون,سورة الانفال,"['كما', 'اخرج', 'رب', 'من', 'بيت', 'حق', 'وان', 'فريق', 'من', 'مؤمن', 'لكرهون']"
يجٰدلونك في الحق بعد ما تبين كانما يساقون الى الموت وهم ينظرون,سورة الانفال,"['يجدلونك', 'في', 'حق', 'بعد', 'ما', 'تبين', 'كانما', 'ساقى', 'الى', 'موت', 'هم', 'نظر']"
واذ يعدكم الله احدى الطائفتين انها لكم وتودون ان غير ذات الشوكة تكون لكم ويريد الله ان يحق الحق بكلمٰته ويقطع دابر الكٰفرين,سورة الانفال,"['اذ', 'يعدكم', 'الله', 'احدى', 'طائفة', 'انها', 'ل', 'ود', 'ان', 'غير', 'ذات', 'شوكة', 'كان', 'ل', 'أراد', 'الله', 'ان', 'حق', 'حق', 'كلمة', 'قطع', 'دابر', 'كفر']"
ليحق الحق ويبطل البٰطل ولو كره المجرمون,سورة الانفال,"['حق', 'حق', 'أبطل', 'بطل', 'لو', 'كره', 'مجرم']"
اذ تستغيثون ربكم فاستجاب لكم اني ممدكم بالف من الملٰئكة مردفين,سورة الانفال,"['اذ', 'تستغيث', 'رب', 'استجاب', 'ل', 'اني', 'ممدكم', 'الف', 'من', 'ملئك', 'مردفين']"
وما جعله الله الا بشرىٰ ولتطمئن به قلوبكم وما النصر الا من عند الله ان الله عزيز حكيم,سورة الانفال,"['ما', 'جعل', 'الله', 'الا', 'بشرة', 'لتطمئن', 'ب', 'قلب', 'ما', 'نصر', 'الا', 'من', 'عند', 'الله', 'ان', 'الله', 'عزيز', 'حكيم']"
نار حامية,سورة القارعة,"['نار', 'حامي']"
اذ يغشيكم النعاس امنة منه وينزل عليكم من السماء ماء ليطهركم به ويذهب عنكم رجز الشيطٰن وليربط علىٰ قلوبكم ويثبت به الاقدام,سورة الانفال,"['اذ', 'يغشيكم', 'نعاس', 'امن', 'من', 'نزل', 'على', 'من', 'سماء', 'ماء', 'طهر', 'ب', 'ذهب', 'عن', 'رجز', 'شيطن', 'ربط', 'على', 'قلب', 'أثبت', 'ب', 'اقدام']"
اذ يوحي ربك الى الملٰئكة اني معكم فثبتوا الذين ءامنوا سالقي في قلوب الذين كفروا الرعب فاضربوا فوق الاعناق واضربوا منهم كل بنان,سورة الانفال,"['اذ', 'أوحى', 'رب', 'الى', 'ملئك', 'اني', 'مع', 'ثبت', 'الذي', 'ءامن', 'سالقي', 'في', 'قلب', 'الذي', 'كفر', 'رعب', 'اضرب', 'فوق', 'اعناق', 'اضرب', 'من', 'كل', 'بنان']"
ذٰلك بانهم شاقوا الله ورسوله ومن يشاقق الله ورسوله فان الله شديد العقاب,سورة الانفال,"['ذلك', 'باني', 'شاق', 'الله', 'رسول', 'من', 'يشاقق', 'الله', 'رسول', 'فان', 'الله', 'شديد', 'عقاب']"
ذٰلكم فذوقوه وان للكٰفرين عذاب النار,سورة الانفال,"['ذلك', 'فذوقوه', 'وان', 'كفر', 'عذاب', 'نار']"
يٰايها الذين ءامنوا اذا لقيتم الذين كفروا زحفا فلا تولوهم الادبار,سورة الانفال,"['ياي', 'الذي', 'ءامن', 'اذ', 'لقيتم', 'الذي', 'كفر', 'زحف', 'لا', 'تولى', 'ادبار']"
ومن يولهم يومئذ دبره الا متحرفا لقتال او متحيزا الىٰ فئة فقد باء بغضب من الله وماوىٰه جهنم وبئس المصير,سورة الانفال,"['من', 'ولى', 'يومئذ', 'دبر', 'الا', 'متحرف', 'قتال', 'او', 'متحيز', 'الى', 'فئة', 'قد', 'باء', 'غضب', 'من', 'الله', 'ماوى', 'جهنم', 'بئس', 'مصير']"
فلم تقتلوهم ولٰكن الله قتلهم وما رميت اذ رميت ولٰكن الله رمىٰ وليبلي المؤمنين منه بلاء حسنا ان الله سميع عليم,سورة الانفال,"['لم', 'قتل', 'لكن', 'الله', 'قتل', 'ما', 'رمى', 'اذ', 'رمى', 'لكن', 'الله', 'رمى', 'ليبلي', 'مؤمن', 'من', 'بلاء', 'حسن', 'ان', 'الله', 'سميع', 'عليم']"
ذٰلكم وان الله موهن كيد الكٰفرين,سورة الانفال,"['ذلك', 'وان', 'الله', 'موهن', 'كيد', 'كفر']"
ان تستفتحوا فقد جاءكم الفتح وان تنتهوا فهو خير لكم وان تعودوا نعد ولن تغني عنكم فئتكم شيا ولو كثرت وان الله مع المؤمنين,سورة الانفال,"['ان', 'تستفتحوا', 'قد', 'جاء', 'فتح', 'وان', 'انتهى', 'هو', 'خير', 'ل', 'وان', 'تعود', 'عد', 'لن', 'أغنى', 'عن', 'فئة', 'شي', 'لو', 'كثر', 'وان', 'الله', 'مع', 'مؤمن']"
يٰايها الذين ءامنوا اطيعوا الله ورسوله ولا تولوا عنه وانتم تسمعون,سورة الانفال,"['ياي', 'الذي', 'ءامن', 'اطيع', 'الله', 'رسول', 'لا', 'تولى', 'عن', 'انتم', 'سمع']"
ولا تكونوا كالذين قالوا سمعنا وهم لا يسمعون,سورة الانفال,"['لا', 'كان', 'الذي', 'قال', 'سمع', 'هم', 'لا', 'سمع']"
ان شر الدواب عند الله الصم البكم الذين لا يعقلون,سورة الانفال,"['ان', 'شر', 'دابة', 'عند', 'الله', 'أصم', 'ب', 'الذي', 'لا', 'عقل']"
ولو علم الله فيهم خيرا لاسمعهم ولو اسمعهم لتولوا وهم معرضون,سورة الانفال,"['لو', 'علم', 'الله', 'في', 'خير', 'اسمع', 'لو', 'اسمع', 'تولى', 'هم', 'معرض']"
الا الذين صبروا وعملوا الصٰلحٰت اولٰئك لهم مغفرة واجر كبير,سورة هود,"['الا', 'الذي', 'صبر', 'عمل', 'صلح', 'اولئك', 'ل', 'مغفرة', 'اجر', 'كبير']"
يٰايها الذين ءامنوا استجيبوا لله وللرسول اذا دعاكم لما يحييكم واعلموا ان الله يحول بين المرء وقلبه وانه اليه تحشرون,سورة الانفال,"['ياي', 'الذي', 'ءامن', 'استجيب', 'الله', 'رسول', 'اذ', 'دعا', 'ما', 'أحيى', 'اعلم', 'ان', 'الله', 'حال', 'بين', 'مرء', 'قلب', 'وان', 'الي', 'تحشر']"
واتقوا فتنة لا تصيبن الذين ظلموا منكم خاصة واعلموا ان الله شديد العقاب,سورة الانفال,"['اتقى', 'فتنة', 'لا', 'تصيبن', 'الذي', 'ظلم', 'من', 'خاص', 'اعلم', 'ان', 'الله', 'شديد', 'عقاب']"
واذكروا اذ انتم قليل مستضعفون في الارض تخافون ان يتخطفكم الناس فاوىٰكم وايدكم بنصره ورزقكم من الطيبٰت لعلكم تشكرون,سورة الانفال,"['اذكر', 'اذ', 'انتم', 'قليل', 'مستضعف', 'في', 'ارض', 'خاف', 'ان', 'يتخطفكم', 'ناس', 'فاوىكم', 'ايد', 'نصر', 'رزق', 'من', 'طيب', 'لعل', 'شكر']"
يٰايها الذين ءامنوا لا تخونوا الله والرسول وتخونوا امٰنٰتكم وانتم تعلمون,سورة الانفال,"['ياي', 'الذي', 'ءامن', 'لا', 'خان', 'الله', 'رسول', 'خان', 'امن', 'انتم', 'علم']"
واعلموا انما اموٰلكم واولٰدكم فتنة وان الله عنده اجر عظيم,سورة الانفال,"['اعلم', 'انما', 'امولكم', 'اولد', 'فتنة', 'وان', 'الله', 'عند', 'اجر', 'عظيم']"
يٰايها الذين ءامنوا ان تتقوا الله يجعل لكم فرقانا ويكفر عنكم سياتكم ويغفر لكم والله ذو الفضل العظيم,سورة الانفال,"['ياي', 'الذي', 'ءامن', 'ان', 'تتقوا', 'الله', 'جعل', 'ل', 'فرقان', 'كفر', 'عن', 'سي', 'غفر', 'ل', 'الله', 'ذو', 'فضل', 'عظيم']"
واذ يمكر بك الذين كفروا ليثبتوك او يقتلوك او يخرجوك ويمكرون ويمكر الله والله خير المٰكرين,سورة الانفال,"['اذ', 'مكر', 'ب', 'الذي', 'كفر', 'ليثبتوك', 'او', 'يقتلوك', 'او', 'يخرجوك', 'مكر', 'مكر', 'الله', 'الله', 'خير', 'مكري']"
واذا تتلىٰ عليهم ءايٰتنا قالوا قد سمعنا لو نشاء لقلنا مثل هٰذا ان هٰذا الا اسٰطير الاولين,سورة الانفال,"['اذ', 'تلا', 'على', 'ءايتنا', 'قال', 'قد', 'سمع', 'لو', 'نشاء', 'قال', 'مثل', 'هذا', 'ان', 'هذا', 'الا', 'اسطير', 'اول']"
واذ قالوا اللهم ان كان هٰذا هو الحق من عندك فامطر علينا حجارة من السماء او ائتنا بعذاب اليم,سورة الانفال,"['اذ', 'قال', 'اللهم', 'ان', 'كان', 'هذا', 'هو', 'حق', 'من', 'عند', 'امطر', 'على', 'حجر', 'من', 'سماء', 'او', 'ائتنا', 'عذاب', 'اليم']"
وما كان الله ليعذبهم وانت فيهم وما كان الله معذبهم وهم يستغفرون,سورة الانفال,"['ما', 'كان', 'الله', 'عذب', 'وان', 'في', 'ما', 'كان', 'الله', 'معذب', 'هم', 'استغفر']"
وما لهم الا يعذبهم الله وهم يصدون عن المسجد الحرام وما كانوا اولياءه ان اولياؤه الا المتقون ولٰكن اكثرهم لا يعلمون,سورة الانفال,"['ما', 'ل', 'الا', 'عذب', 'الله', 'هم', 'صد', 'عن', 'مسجد', 'حرام', 'ما', 'كان', 'اولياء', 'ان', 'اولياؤ', 'الا', 'متقي', 'لكن', 'اكثر', 'لا', 'علم']"
وما كان صلاتهم عند البيت الا مكاء وتصدية فذوقوا العذاب بما كنتم تكفرون,سورة الانفال,"['ما', 'كان', 'صلاة', 'عند', 'بيت', 'الا', 'مكاء', 'تصدي', 'ذوق', 'عذاب', 'ما', 'كان', 'كفر']"
فلما جاء ءال لوط المرسلون,سورة الحجر,"['لما', 'جاء', 'ءال', 'لوط', 'مرسل']"
ان الذين كفروا ينفقون اموٰلهم ليصدوا عن سبيل الله فسينفقونها ثم تكون عليهم حسرة ثم يغلبون والذين كفروا الىٰ جهنم يحشرون,سورة الانفال,"['ان', 'الذي', 'كفر', 'أنفق', 'امول', 'صد', 'عن', 'سبيل', 'الله', 'أنفق', 'ثم', 'كان', 'على', 'حسرة', 'ثم', 'غلب', 'الذي', 'كفر', 'الى', 'جهنم', 'حشر']"
ليميز الله الخبيث من الطيب ويجعل الخبيث بعضه علىٰ بعض فيركمه جميعا فيجعله في جهنم اولٰئك هم الخٰسرون,سورة الانفال,"['ميز', 'الله', 'خبيث', 'من', 'طيب', 'جعل', 'خبيث', 'بعض', 'على', 'بعض', 'فيركمه', 'جميع', 'جعل', 'في', 'جهنم', 'اولئك', 'هم', 'خسر']"
قل للذين كفروا ان ينتهوا يغفر لهم ما قد سلف وان يعودوا فقد مضت سنت الاولين,سورة الانفال,"['قال', 'الذي', 'كفر', 'ان', 'انتهى', 'غفر', 'ل', 'ما', 'قد', 'سلف', 'وان', 'عاد', 'قد', 'مضى', 'سن', 'اول']"
وقٰتلوهم حتىٰ لا تكون فتنة ويكون الدين كله لله فان انتهوا فان الله بما يعملون بصير,سورة الانفال,"['قتل', 'حتى', 'لا', 'كان', 'فتنة', 'كان', 'دين', 'كل', 'الله', 'فان', 'انتهى', 'فان', 'الله', 'ما', 'عمل', 'بصير']"
وان تولوا فاعلموا ان الله مولىٰكم نعم المولىٰ ونعم النصير,سورة الانفال,"['وان', 'تولى', 'اعلم', 'ان', 'الله', 'مولى', 'نعم', 'مولى', 'نعم', 'نصير']"
واعلموا انما غنمتم من شيء فان لله خمسه وللرسول ولذي القربىٰ واليتٰمىٰ والمسٰكين وابن السبيل ان كنتم ءامنتم بالله وما انزلنا علىٰ عبدنا يوم الفرقان يوم التقى الجمعان والله علىٰ كل شيء قدير,سورة الانفال,"['اعلم', 'انما', 'غنم', 'من', 'شيء', 'فان', 'الله', 'خمس', 'رسول', 'ذو', 'قربى', 'يتمى', 'مسكين', 'ابن', 'سبيل', 'ان', 'كان', 'ءامنتم', 'الله', 'ما', 'انزل', 'على', 'عبد', 'يوم', 'فرقان', 'يوم', 'التقى', 'جمعان', 'الله', 'على', 'كل', 'شيء', 'قدير']"
اذ انتم بالعدوة الدنيا وهم بالعدوة القصوىٰ والركب اسفل منكم ولو تواعدتم لاختلفتم في الميعٰد ولٰكن ليقضي الله امرا كان مفعولا ليهلك من هلك عن بينة ويحيىٰ من حي عن بينة وان الله لسميع عليم,سورة الانفال,"['اذ', 'انتم', 'عدو', 'دنيا', 'هم', 'عدو', 'أقصى', 'ركبة', 'اسفل', 'من', 'لو', 'تواعدتم', 'لاختلفتم', 'في', 'ميعد', 'لكن', 'قضى', 'الله', 'امرا', 'كان', 'مفعول', 'هلك', 'من', 'هلك', 'عن', 'بينة', 'يحيى', 'من', 'حي', 'عن', 'بينة', 'وان', 'الله', 'سميع', 'عليم']"
اذ يريكهم الله في منامك قليلا ولو ارىٰكهم كثيرا لفشلتم ولتنٰزعتم في الامر ولٰكن الله سلم انه عليم بذات الصدور,سورة الانفال,"['اذ', 'يريك', 'الله', 'في', 'منام', 'قليل', 'لو', 'ارىكهم', 'كثير', 'لفشلتم', 'ولتنزعتم', 'في', 'امر', 'لكن', 'الله', 'سلم', 'ان', 'عليم', 'ذات', 'صدر']"
واذ يريكموهم اذ التقيتم في اعينكم قليلا ويقللكم في اعينهم ليقضي الله امرا كان مفعولا والى الله ترجع الامور,سورة الانفال,"['اذ', 'يريكموهم', 'اذ', 'التقى', 'في', 'اعين', 'قليل', 'قلل', 'في', 'اعين', 'قضى', 'الله', 'امرا', 'كان', 'مفعول', 'والى', 'الله', 'رجع', 'امور']"
يٰايها الذين ءامنوا اذا لقيتم فئة فاثبتوا واذكروا الله كثيرا لعلكم تفلحون,سورة الانفال,"['ياي', 'الذي', 'ءامن', 'اذ', 'لقيتم', 'فئة', 'اثبت', 'اذكر', 'الله', 'كثير', 'لعل', 'أفلح']"
واطيعوا الله ورسوله ولا تنٰزعوا فتفشلوا وتذهب ريحكم واصبروا ان الله مع الصٰبرين,سورة الانفال,"['اطيع', 'الله', 'رسول', 'لا', 'نزع', 'فشل', 'ذهب', 'ريح', 'اصبر', 'ان', 'الله', 'مع', 'صبر']"
ولا تكونوا كالذين خرجوا من ديٰرهم بطرا ورئاء الناس ويصدون عن سبيل الله والله بما يعملون محيط,سورة الانفال,"['لا', 'كان', 'الذي', 'خرج', 'من', 'دير', 'بطر', 'رئاء', 'ناس', 'صد', 'عن', 'سبيل', 'الله', 'الله', 'ما', 'عمل', 'محيط']"
واذ زين لهم الشيطٰن اعمٰلهم وقال لا غالب لكم اليوم من الناس واني جار لكم فلما تراءت الفئتان نكص علىٰ عقبيه وقال اني بريء منكم اني ارىٰ ما لا ترون اني اخاف الله والله شديد العقاب,سورة الانفال,"['اذ', 'زين', 'ل', 'شيطن', 'اعمل', 'قال', 'لا', 'غالب', 'ل', 'يوم', 'من', 'ناس', 'واني', 'جار', 'ل', 'لما', 'تراء', 'فئتان', 'نكص', 'على', 'عقب', 'قال', 'اني', 'بريء', 'من', 'اني', 'ارى', 'ما', 'لا', 'رأى', 'اني', 'اخاف', 'الله', 'الله', 'شديد', 'عقاب']"
اذ يقول المنٰفقون والذين في قلوبهم مرض غر هٰؤلاء دينهم ومن يتوكل على الله فان الله عزيز حكيم,سورة الانفال,"['اذ', 'قال', 'منفق', 'الذي', 'في', 'قلب', 'مرض', 'غر', 'هذا', 'دين', 'من', 'توكل', 'على', 'الله', 'فان', 'الله', 'عزيز', 'حكيم']"
ولو ترىٰ اذ يتوفى الذين كفروا الملٰئكة يضربون وجوههم وادبٰرهم وذوقوا عذاب الحريق,سورة الانفال,"['لو', 'رأى', 'اذ', 'توفى', 'الذي', 'كفر', 'ملئك', 'ضرب', 'وجه', 'ادبر', 'ذوق', 'عذاب', 'حريق']"
ذٰلك بما قدمت ايديكم وان الله ليس بظلٰم للعبيد,سورة الانفال,"['ذلك', 'ما', 'قدم', 'ايدي', 'وان', 'الله', 'ليس', 'ظلم', 'عبد']"
كداب ءال فرعون والذين من قبلهم كفروا بايٰت الله فاخذهم الله بذنوبهم ان الله قوي شديد العقاب,سورة الانفال,"['داب', 'ءال', 'فرعون', 'الذي', 'من', 'قبل', 'كفر', 'باي', 'الله', 'اخذ', 'الله', 'ذنب', 'ان', 'الله', 'قوي', 'شديد', 'عقاب']"
ذٰلك بان الله لم يك مغيرا نعمة انعمها علىٰ قوم حتىٰ يغيروا ما بانفسهم وان الله سميع عليم,سورة الانفال,"['ذلك', 'باني', 'الله', 'لم', 'يك', 'مغير', 'نعمة', 'انعم', 'على', 'قوم', 'حتى', 'غير', 'ما', 'انفس', 'وان', 'الله', 'سميع', 'عليم']"
كداب ءال فرعون والذين من قبلهم كذبوا بايٰت ربهم فاهلكنٰهم بذنوبهم واغرقنا ءال فرعون وكل كانوا ظٰلمين,سورة الانفال,"['داب', 'ءال', 'فرعون', 'الذي', 'من', 'قبل', 'كذب', 'باي', 'رب', 'فاهلكنهم', 'ذنب', 'اغرق', 'ءال', 'فرعون', 'كل', 'كان', 'ظلم']"
ان شر الدواب عند الله الذين كفروا فهم لا يؤمنون,سورة الانفال,"['ان', 'شر', 'دابة', 'عند', 'الله', 'الذي', 'كفر', 'هم', 'لا', 'آمن']"
الذين عٰهدت منهم ثم ينقضون عهدهم في كل مرة وهم لا يتقون,سورة الانفال,"['الذي', 'عهد', 'من', 'ثم', 'نقض', 'عهد', 'في', 'كل', 'مرة', 'هم', 'لا', 'اتقى']"
فاما تثقفنهم في الحرب فشرد بهم من خلفهم لعلهم يذكرون,سورة الانفال,"['اما', 'تثقفنهم', 'في', 'حرب', 'شرد', 'ب', 'من', 'خلف', 'لعل', 'ذكر']"
واما تخافن من قوم خيانة فانبذ اليهم علىٰ سواء ان الله لا يحب الخائنين,سورة الانفال,"['اما', 'تخافن', 'من', 'قوم', 'خيانة', 'انبذ', 'الي', 'على', 'سواء', 'ان', 'الله', 'لا', 'أحب', 'خائن']"
ولا يحسبن الذين كفروا سبقوا انهم لا يعجزون,سورة الانفال,"['لا', 'يحسبن', 'الذي', 'كفر', 'سبق', 'ان', 'لا', 'عجز']"
قال انكم قوم منكرون,سورة الحجر,"['قال', 'ان', 'قوم', 'منكر']"
واعدوا لهم ما استطعتم من قوة ومن رباط الخيل ترهبون به عدو الله وعدوكم وءاخرين من دونهم لا تعلمونهم الله يعلمهم وما تنفقوا من شيء في سبيل الله يوف اليكم وانتم لا تظلمون,سورة الانفال,"['واعد', 'ل', 'ما', 'استطاع', 'من', 'قوة', 'من', 'رباط', 'خيل', 'أرهب', 'ب', 'عدو', 'الله', 'عدو', 'ءاخرين', 'من', 'دون', 'لا', 'علم', 'الله', 'علم', 'ما', 'أنفق', 'من', 'شيء', 'في', 'سبيل', 'الله', 'وفى', 'الي', 'انتم', 'لا', 'ظلم']"
وان جنحوا للسلم فاجنح لها وتوكل على الله انه هو السميع العليم,سورة الانفال,"['وان', 'جنح', 'سلم', 'اجنح', 'ل', 'أوكل', 'على', 'الله', 'ان', 'هو', 'سميع', 'عليم']"
وان يريدوا ان يخدعوك فان حسبك الله هو الذي ايدك بنصره وبالمؤمنين,سورة الانفال,"['وان', 'أراد', 'ان', 'يخدعوك', 'فان', 'حسب', 'الله', 'هو', 'الذي', 'ايدك', 'نصر', 'مؤمن']"
والف بين قلوبهم لو انفقت ما في الارض جميعا ما الفت بين قلوبهم ولٰكن الله الف بينهم انه عزيز حكيم,سورة الانفال,"['الف', 'بين', 'قلب', 'لو', 'انفق', 'ما', 'في', 'ارض', 'جميع', 'ما', 'فت', 'بين', 'قلب', 'لكن', 'الله', 'الف', 'بين', 'ان', 'عزيز', 'حكيم']"
يٰايها النبي حسبك الله ومن اتبعك من المؤمنين,سورة الانفال,"['ياي', 'نبي', 'حسب', 'الله', 'من', 'اتبع', 'من', 'مؤمن']"
يٰايها النبي حرض المؤمنين على القتال ان يكن منكم عشرون صٰبرون يغلبوا مائتين وان يكن منكم مائة يغلبوا الفا من الذين كفروا بانهم قوم لا يفقهون,سورة الانفال,"['ياي', 'نبي', 'حرض', 'مؤمن', 'على', 'قتال', 'ان', 'كان', 'من', 'عشرون', 'صبر', 'غلب', 'مئة', 'وان', 'كان', 'من', 'مئة', 'غلب', 'الفا', 'من', 'الذي', 'كفر', 'باني', 'قوم', 'لا', 'فقه']"
الٰن خفف الله عنكم وعلم ان فيكم ضعفا فان يكن منكم مائة صابرة يغلبوا مائتين وان يكن منكم الف يغلبوا الفين باذن الله والله مع الصٰبرين,سورة الانفال,"['الن', 'خفف', 'الله', 'عن', 'علم', 'ان', 'في', 'ضعف', 'فان', 'كان', 'من', 'مئة', 'صابر', 'غلب', 'مئة', 'وان', 'كان', 'من', 'الف', 'غلب', 'فين', 'اذن', 'الله', 'الله', 'مع', 'صبر']"
