#الكلمة;نوعها;صنف;العطف;التعريف;الجر;الإضافة;الاستفهام;التصريف;لام القسم;معرف;ملاحظة
راح;فعل;كان و أخواتها;ع;*;*;*;*;ص;ل;*;-
رجع;فعل;كان و أخواتها;ع;*;*;*;*;ص;ل;*;-
صار;فعل;كان و أخواتها;ع;*;*;*;*;ص;ل;*;-
ظلّ;فعل;كان و أخواتها;ع;*;*;*;*;ص;ل;*;-
عاد;فعل;كان و أخواتها;ع;*;*;*;*;ص;ل;*;-
غدا;فعل;كان و أخواتها;ع;*;*;*;*;ص;ل;*;-
كان;فعل;كان و أخواتها;ع;*;*;*;*;ص;ل;*;-
ماانفك;فعل;كان و أخواتها;ع;*;*;*;*;ص;*;*;-
مابرح;فعل;كان و أخواتها;ع;*;*;*;*;ص;*;*;-
مادام;فعل;كان و أخواتها;ع;*;*;*;*;ص;*;*;-
مازال;فعل;كان و أخواتها;ع;*;*;*;*;ص;*;*;-
مافتئ;فعل;كان و أخواتها;ع;*;*;*;*;ص;*;*;-
لَيْسَ;فعل;كان و أخواتها;ع;*;*;*;س;*;*;*;-
لَسْتُ;فعل;كان و أخواتها;ع;*;*;*;س;*;*;*;-
لَِسْنَا;فعل;كان و أخواتها;ع;*;*;*;س;*;*;*;-
لَسْتَ;فعل;كان و أخواتها;ع;*;*;*;س;*;*;*;-
لَسْتِ;فعل;كان و أخواتها;ع;*;*;*;س;*;*;*;-
لَسْتُمَا;فعل;كان و أخواتها;ع;*;*;*;س;*;*;*;-
لَسْتُم;فعل;كان و أخواتها;ع;*;*;*;س;*;*;*;-
لَسْتُنَّ;فعل;كان و أخواتها;ع;*;*;*;س;*;*;*;-
لَيْسَتْ;فعل;كان و أخواتها;ع;*;*;*;س;*;*;*;-
لَيْسَا;فعل;كان و أخواتها;ع;*;*;*;س;*;*;*;-
لَيْسَتَا;فعل;كان و أخواتها;ع;*;*;*;س;*;*;*;-
لَيْسُوا;فعل;كان و أخواتها;ع;*;*;*;س;*;*;*;-
لَسْنَ;فعل;كان و أخواتها;ع;*;*;*;س;*;*;*;-
بضع;اسم;كناية;ع;*;*;ض;س;*;*;*;-
ذيت;اسم;كناية;ع;*;*;*;*;*;*;*;-
فلان;اسم;كناية;ع;*;*;*;س;*;*;*;-
كأيّ;اسم;كناية;ع;*;*;*;*;*;*;*;-
كأين;اسم;كناية;ع;*;*;*;*;*;*;*;-
كأيّن;اسم;كناية;ع;*;*;*;*;*;*;*;-
كذا;اسم;كناية;ع;*;*;*;س;*;*;*;-
كم;اسم;كناية;ع;*;*;*;*;*;*;*;-
كيت;اسم;كناية;ع;*;*;*;*;*;*;*;-
